kind,name,note_count,length_beats,length_seconds,notes_per_beat,unique_pitch_count,unique_pitch_class_count,active_instrument_count,instrument_entropy,average_polyphony,max_polyphony,mean_duration_steps,pitch_class_entropy,scale_consistency_percent,groove_consistency_percent,sequence_len,raw_note_events,unique_note_events,duplicate_note_rate,note_instrument_violation_rate,best_scale,instrument_counts
reference,test_00018,4,32.416667,16.208333,0.123393,4,2,2,0.811278,0.109254,4,21.250000,0.811278,100.000000,99.739583,,,,,,0:major,"{""bass"": 1, ""brass"": 0, ""guitar"": 3, ""piano"": 0, ""strings"": 0}"
reference,test_00019,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0.000000,,,,,,,,,,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00020,10,31.958333,15.979167,0.312907,10,6,1,-0.000000,2.494133,5,191.300000,2.521928,90.000000,99.404762,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 10}"
reference,test_00021,148,32.041667,16.020833,4.618986,10,6,2,0.534004,10.280884,20,53.418919,2.433049,100.000000,96.354167,,,,,,2:minor,"{""bass"": 18, ""brass"": 130, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00022,82,32.000000,16.000000,2.562500,12,7,2,0.947435,1.416667,5,13.268293,2.675717,100.000000,97.023810,,,,,,1:major,"{""bass"": 52, ""brass"": 0, ""guitar"": 0, ""piano"": 30, ""strings"": 0}"
reference,test_00023,133,32.000000,16.000000,4.156250,13,6,2,0.742488,4.812500,6,27.789474,2.099136,100.000000,99.404762,,,,,,4:minor,"{""bass"": 28, ""brass"": 0, ""guitar"": 105, ""piano"": 0, ""strings"": 0}"
reference,test_00024,81,32.000000,16.000000,2.531250,13,7,2,0.991076,3.933594,6,37.296296,2.344117,100.000000,98.065476,,,,,,7:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 45, ""strings"": 36}"
reference,test_00025,193,32.458333,16.229167,5.946085,22,7,3,1.405850,2.358151,7,9.518135,2.595934,100.000000,95.572917,,,,,,3:minor,"{""bass"": 28, ""brass"": 0, ""guitar"": 60, ""piano"": 105, ""strings"": 0}"
reference,test_00026,99,32.000000,16.000000,3.093750,16,7,1,-0.000000,1.484375,3,11.515152,2.673768,100.000000,96.428571,,,,,,2:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 99, ""strings"": 0}"
reference,test_00027,368,32.000000,16.000000,11.500000,18,8,3,0.331618,5.234375,15,10.923913,2.699859,98.641304,98.214286,,,,,,0:major,"{""bass"": 4, ""brass"": 0, ""guitar"": 349, ""piano"": 15, ""strings"": 0}"
reference,test_00028,250,36.000000,18.000000,6.944444,10,4,2,0.141441,2.488426,7,8.600000,1.916983,100.000000,95.833333,,,,,,1:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 245, ""strings"": 5}"
reference,test_00029,125,31.958333,15.979167,3.911343,10,7,4,1.439104,3.685789,5,22.616000,2.186150,100.000000,100.000000,,,,,,4:minor,"{""bass"": 73, ""brass"": 3, ""guitar"": 36, ""piano"": 13, ""strings"": 0}"
reference,test_00030,357,32.000000,16.000000,11.156250,31,8,3,1.288877,6.654948,11,14.316527,2.597601,99.439776,87.946429,,,,,,4:minor,"{""bass"": 45, ""brass"": 0, ""guitar"": 226, ""piano"": 86, ""strings"": 0}"
reference,test_00031,81,32.000000,16.000000,2.531250,17,7,2,0.334268,1.195312,5,11.333333,2.723636,100.000000,94.791667,,,,,,2:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 76, ""strings"": 5}"
reference,test_00032,183,32.333333,16.166667,5.659794,21,9,4,1.546076,3.126289,11,13.256831,2.962817,92.896175,97.916667,,,,,,0:major,"{""bass"": 31, ""brass"": 0, ""guitar"": 94, ""piano"": 55, ""strings"": 3}"
reference,test_00033,368,35.958333,17.979167,10.234067,19,7,4,1.778633,8.084589,17,18.959239,2.361193,100.000000,93.750000,,,,,,2:minor,"{""bass"": 24, ""brass"": 0, ""guitar"": 96, ""piano"": 160, ""strings"": 88}"
reference,test_00034,94,32.000000,16.000000,2.937500,29,8,3,1.302170,2.703125,8,22.085106,2.871373,97.872340,96.726190,,,,,,2:major,"{""bass"": 15, ""brass"": 0, ""guitar"": 0, ""piano"": 60, ""strings"": 19}"
reference,test_00035,71,31.875000,15.937500,2.227451,12,7,1,-0.000000,0.835294,5,9.000000,2.600830,100.000000,98.065476,,,,,,2:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 71}"
reference,test_00036,49,34.000000,17.000000,1.441176,21,7,3,1.548216,4.428922,8,73.755102,2.725859,100.000000,98.437500,,,,,,0:minor,"{""bass"": 12, ""brass"": 0, ""guitar"": 0, ""piano"": 21, ""strings"": 16}"
reference,test_00037,122,32.000000,16.000000,3.812500,24,8,4,1.593726,4.203125,7,26.459016,2.579938,95.081967,98.065476,,,,,,0:minor,"{""bass"": 21, ""brass"": 0, ""guitar"": 12, ""piano"": 73, ""strings"": 16}"
reference,test_00038,146,32.625000,16.312500,4.475096,29,9,2,0.455831,4.210728,8,22.582192,2.552141,93.835616,91.406250,,,,,,1:major,"{""bass"": 14, ""brass"": 0, ""guitar"": 0, ""piano"": 132, ""strings"": 0}"
reference,test_00039,48,32.000000,16.000000,1.500000,18,10,1,-0.000000,1.395833,5,22.333333,3.055008,79.166667,97.321429,,,,,,4:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 48, ""piano"": 0, ""strings"": 0}"
reference,test_00040,221,34.125000,17.062500,6.476190,28,7,3,1.278531,6.306471,13,23.371041,2.747053,100.000000,90.364583,,,,,,4:minor,"{""bass"": 22, ""brass"": 0, ""guitar"": 0, ""piano"": 136, ""strings"": 63}"
reference,test_00041,99,31.166667,15.583333,3.176471,21,9,1,-0.000000,2.410428,5,18.212121,2.920023,88.888889,88.095238,,,,,,6:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 99, ""strings"": 0}"
reference,test_00042,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0.000000,,,,,,,,,,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00043,224,32.000000,16.000000,7.000000,23,7,4,1.269412,2.984375,7,10.232143,2.194475,100.000000,96.130952,,,,,,0:major,"{""bass"": 27, ""brass"": 0, ""guitar"": 162, ""piano"": 23, ""strings"": 12}"
reference,test_00044,57,34.666667,17.333333,1.644231,23,8,3,1.467131,4.058894,8,59.245614,2.366105,96.491228,92.578125,,,,,,0:major,"{""bass"": 22, ""brass"": 0, ""guitar"": 0, ""piano"": 9, ""strings"": 26}"
reference,test_00045,143,33.000000,16.500000,4.333333,30,9,3,1.457266,4.388889,8,24.307692,2.598667,93.706294,96.223958,,,,,,2:major,"{""bass"": 33, ""brass"": 0, ""guitar"": 33, ""piano"": 77, ""strings"": 0}"
reference,test_00046,48,32.000000,16.000000,1.500000,6,6,1,-0.000000,1.666667,2,26.666667,2.220176,100.000000,98.809524,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 48, ""piano"": 0, ""strings"": 0}"
reference,test_00047,11,32.041667,16.020833,0.343303,3,3,1,-0.000000,0.798440,1,55.818182,1.435371,100.000000,99.218750,,,,,,0:minor,"{""bass"": 11, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00048,70,33.500000,16.750000,2.089552,13,7,2,0.822404,2.149254,4,24.685714,2.746322,100.000000,97.656250,,,,,,7:minor,"{""bass"": 18, ""brass"": 0, ""guitar"": 0, ""piano"": 52, ""strings"": 0}"
reference,test_00049,29,34.000000,17.000000,0.852941,11,7,1,-0.000000,2.330882,4,65.586207,2.520379,93.103448,98.567708,,,,,,2:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 29}"
reference,test_00050,157,33.000000,16.500000,4.757576,39,10,2,0.475024,2.883838,6,14.547771,3.075561,90.445860,90.364583,,,,,,2:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 141, ""strings"": 16}"
reference,test_00051,156,31.833333,15.916667,4.900524,14,9,2,0.890492,1.747382,4,8.557692,2.842880,79.487179,96.875000,,,,,,0:major,"{""bass"": 48, ""brass"": 0, ""guitar"": 108, ""piano"": 0, ""strings"": 0}"
reference,test_00052,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0.000000,,,,,,,,,,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00053,246,32.541667,16.270833,7.559539,25,7,4,1.891108,6.454545,12,20.491870,2.510334,100.000000,89.322917,,,,,,0:minor,"{""bass"": 54, ""brass"": 0, ""guitar"": 103, ""piano"": 37, ""strings"": 52}"
reference,test_00054,101,32.583333,16.291667,3.099744,22,8,3,1.457596,7.374680,15,57.099010,2.640653,99.009901,96.354167,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 43, ""piano"": 43, ""strings"": 15}"
reference,test_00055,540,32.041667,16.020833,16.853056,30,8,2,0.962861,5.793238,8,8.250000,2.612017,96.851852,89.713542,,,,,,4:minor,"{""bass"": 209, ""brass"": 0, ""guitar"": 331, ""piano"": 0, ""strings"": 0}"
reference,test_00056,42,35.375000,17.687500,1.187279,9,6,1,-0.000000,0.454653,4,9.190476,2.253962,100.000000,95.572917,,,,,,1:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 42, ""piano"": 0, ""strings"": 0}"
reference,test_00057,163,32.041667,16.020833,5.087126,22,9,4,1.582688,6.006502,13,28.337423,2.355461,96.319018,98.046875,,,,,,0:major,"{""bass"": 35, ""brass"": 0, ""guitar"": 78, ""piano"": 48, ""strings"": 2}"
reference,test_00058,77,35.000000,17.500000,2.200000,15,8,3,1.448320,3.885714,5,42.389610,2.234772,98.701299,95.703125,,,,,,2:major,"{""bass"": 24, ""brass"": 0, ""guitar"": 40, ""piano"": 13, ""strings"": 0}"
reference,test_00059,209,32.458333,16.229167,6.439024,15,8,2,0.605634,2.346598,5,8.746411,2.506391,90.909091,95.052083,,,,,,2:minor,"{""bass"": 31, ""brass"": 0, ""guitar"": 178, ""piano"": 0, ""strings"": 0}"
